src,dst,relationship,cost
"Araripina","Caruaru","EROAD",551
"Araripina","Igarassu","EROAD",700
"Araripina","Cabrobo","EROAD",186
"Recife","Surubim","EROAD",118
"Recife","Salgueiro","EROAD",510
"Recife","Caruaru","EROAD",510
"Ouricuri","Igarassu","EROAD",641
"Ouricuri","Surubim","EROAD",525
"Ouricuri","Salgueiro","EROAD",359
"Cabrobo","Ouricuri","EROAD",127
"Cabrobo","Carpina","EROAD",502
"Cabrobo","Recife","EROAD",526
"Igarassu","Salgueiro","EROAD",529
"Igarassu","Ouricuri","EROAD",197
"Igarassu","Recife","EROAD",28
"Carpina","Petrolina","EROAD",681
"Carpina","Salgueiro","EROAD",480
"Carpina","Ouricuri","EROAD",591
"Petrolina","Ouricuri","EROAD",154
"Petrolina","Surubim","EROAD",66
"Petrolina","Igarassu","EROAD",726
"Surubim","Araripina","EROAD",583
"Surubim","Caruaru","EROAD",67
"Surubim","Salgueiro","EROAD",413
"Salgueiro","Araripina","EROAD",171
"Salgueiro","Cabrobo","EROAD",60
"Salgueiro","Petrolina","EROAD",234
"Caruaru","Igarassu","EROAD",151
"Caruaru","Petrolina","EROAD",576
"Caruaru","Ouricuri","EROAD",492